country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",19-01-2026 08:00,24.7955,84.9994,OZONE,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-01-2026 08:00,24.792403,84.992416,NH3,5,6,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-01-2026 08:00,24.792403,84.992416,SO2,13,17,15
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-01-2026 08:00,24.792403,84.992416,CO,32,42,40
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-01-2026 08:00,24.792403,84.992416,OZONE,1,48,3
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",19-01-2026 08:00,14.675886,77.593027,PM2.5,69,84,77
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",19-01-2026 08:00,14.675886,77.593027,SO2,10,10,10
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",19-01-2026 08:00,13.20488,79.097889,PM2.5,46,274,77
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",19-01-2026 08:00,13.20488,79.097889,PM10,47,161,73
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",19-01-2026 08:00,21.185571,81.343175,SO2,7,10,8
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",19-01-2026 08:00,21.224231,81.40835,NO2,33,96,55
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",19-01-2026 08:00,22.08815,82.13737,PM10,57,126,84
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",19-01-2026 08:00,22.08815,82.13737,SO2,8,37,18
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",19-01-2026 08:00,22.118125,83.140608,SO2,2,99,24
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",19-01-2026 08:00,22.118125,83.140608,CO,22,50,24
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",19-01-2026 08:00,22.368195,82.746431,SO2,8,73,22
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",19-01-2026 08:00,22.368195,82.746431,CO,22,32,26
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",19-01-2026 08:00,22.348441,82.549611,PM2.5,3,140,45
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",19-01-2026 08:00,22.348441,82.549611,PM10,3,120,48
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",19-01-2026 08:00,22.348441,82.549611,NO2,16,22,19
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",19-01-2026 08:00,22.348441,82.549611,NH3,1,1,1
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-01-2026 08:00,25.592539,85.227158,PM10,98,128,108
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-01-2026 08:00,25.592539,85.227158,NO2,14,18,16
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-01-2026 08:00,25.592539,85.227158,SO2,12,20,16
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-01-2026 08:00,25.592539,85.227158,CO,24,150,112
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",19-01-2026 08:00,25.610369,85.132568,NO2,19,24,22
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",19-01-2026 08:00,25.610369,85.132568,CO,72,82,80
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",19-01-2026 08:00,25.610369,85.132568,OZONE,29,30,30
India,Bihar,Patna,"Muradpur, Patna - BSPCB",19-01-2026 08:00,25.619651,85.147382,PM10,107,124,117
India,Bihar,Patna,"Muradpur, Patna - BSPCB",19-01-2026 08:00,25.619651,85.147382,OZONE,4,16,5
India,Bihar,Patna,"Samanpura, Patna - BSPCB",19-01-2026 08:00,25.596727,85.085624,PM10,104,159,135
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",19-01-2026 08:00,25.366336,87.117468,PM2.5,93,210,139
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",19-01-2026 08:00,25.366336,87.117468,PM10,73,115,93
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",19-01-2026 08:00,21.237755,81.705301,CO,31,52,42
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",19-01-2026 08:00,21.237755,81.705301,OZONE,13,26,13
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",19-01-2026 08:00,22.06631475,83.33820077,OZONE,3,87,4
India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-01-2026 08:00,28.815329,77.15301,OZONE,4,56,4
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",19-01-2026 08:00,28.647622,77.315809,PM10,224,500,430
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",19-01-2026 08:00,28.647622,77.315809,OZONE,8,18,15
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-01-2026 08:00,28.695381,77.181665,PM10,277,500,444
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-01-2026 08:00,28.695381,77.181665,NH3,7,9,8
